startDate,endDate,brief,investor_id,groupName,isCurrent,position,kr_group_id,id
2011-04-01 12:00:00,2011-10-01 12:00:00,百度魔图（原魔图精灵），是一款好玩易用的掌上美图工具。,21111,百度魔图,False,联合创始人,131994,122
2015-04-01 12:00:00,9999-09-09 09:09:09,一家关注新三板移动互联网、医疗及游戏项目的新锐投资公司,21097,高晟融信,True,创始人,163154,123
2013-02-01 12:00:00,9999-09-09 09:09:09,淘幸福-淘幸福-淘幸福-淘幸福-,21091,淘幸淘,True,创始人,143451,124
2014-09-01 12:00:00,,产品测试所用，非正式公司,21090,产品测试专用公司,True,创始人,130740,125
2015-01-01 12:00:00,9999-09-09 09:09:09,互联网创业平台,21089,36氪,True,联合创始人,1515,126
2014-01-01 12:00:00,9999-09-09 09:09:09,人人网旗下经纬网出品的名片识别及商务社交工具,21089,经纬名片通,True,创始人,9925,127
2013-07-01 12:00:00,2014-03-01 12:00:00,人才技能数据库，大数据驱动的招聘解决方案,21089,尚格德塔,False,创始人,131638,128
2012-05-01 12:00:00,2013-05-01 12:00:00,社交网络大数据分析应用,21089,智拓,False,创始人,130730,129
2011-07-01 12:00:00,9999-09-09 09:09:09,互联网创业平台,21088,36氪,True,创始人,1515,130
2014-05-01 12:00:00,9999-09-09 09:09:09,互联网创业平台,21087,36氪,True,联合创始人,1515,131
2014-09-01 12:00:00,9999-09-09 09:09:09,用户行为日志分析工具,21086,尚格数据,True,创始人,131673,132
2010-02-01 12:00:00,9999-09-09 09:09:09,创新营销服务提供商,21086,WE微,True,联合创始人,5221,133
,9999-09-09 09:09:09,社交网络大数据分析应用,21086,智拓,True,创始人,130730,134
,9999-09-09 09:09:09,人才技能数据库，大数据驱动的招聘解决方案,21086,尚格德塔,True,联合创始人,131638,135
,9999-09-09 09:09:09,人人网旗下经纬网出品的名片识别及商务社交工具,21086,经纬名片通,True,联合创始人,9925,136
,9999-09-09 09:09:09,互联网创业平台,21086,36氪,True,联合创始人,1515,137
2014-03-01 12:00:00,2015-01-01 12:00:00,人人网旗下经纬网出品的名片识别及商务社交工具,21086,经纬名片通,False,联合创始人,9925,138
2012-02-01 12:00:00,2013-06-01 12:00:00,社交网络大数据分析应用,21086,智拓,False,联合创始人,130730,139
2010-01-01 12:00:00,9999-09-09 09:09:09,this is a test company,21084,不错的公司,True,创始人,131658,140
2011-01-01 12:00:00,2013-01-01 12:00:00,微信运营平台,21084,36计,False,创始人,30359,141
2015-05-01 12:00:00,9999-09-09 09:09:09,GPS行程记录软件,21082,野兽骑行,True,联合创始人,134096,142
2015-05-01 12:00:00,9999-09-09 09:09:09,一站式移动互联网物业管理平台,21082,邻里间,True,联合创始人,143055,143
2015-05-01 12:00:00,9999-09-09 09:09:09,面向有车人士提供在线分期消费及借款服务,21082,滴士分期,True,创始人,157793,144
2015-03-01 12:00:00,9999-09-09 09:09:09,中小微草根企业的销售人员管控和业务管理的移动云服务平台,21082,小步外勤,True,联合创始人,131614,145
2015-03-01 12:00:00,9999-09-09 09:09:09,整合酒店空置资源和供应商优势产品的体验式电商服务平台,21082,1克拉体验式电商服务平台,True,联合创始人,29043,146
2015-03-01 12:00:00,9999-09-09 09:09:09,虚拟现实解决方案提供商,21082,Depth VR,True,联合创始人,30909,147
2015-03-01 12:00:00,9999-09-09 09:09:09,定制化旅行方案提供商,21082,WeeGo我去旅行,True,联合创始人,10172,148
2015-03-01 12:00:00,9999-09-09 09:09:09,社交出版平台,21082,赞赏,True,联合创始人,131834,149
2015-03-01 12:00:00,9999-09-09 09:09:09,新模式珠宝玉石电商平台,21082,挖漏儿,True,联合创始人,131744,150
2015-03-01 12:00:00,9999-09-09 09:09:09,社会化母婴电商,21082,爱囤货,True,联合创始人,34569,151
2015-01-01 12:00:00,9999-09-09 09:09:09,硬件开发者服务平台,21082,WildDog野狗,True,创始人,131663,152
2014-10-01 12:00:00,9999-09-09 09:09:09,新型二手车交易及金融服务平台,21082,品车会,True,联合创始人,157802,153
,9999-09-09 09:09:09,让人人都有贴身的明星私教，打造真正的健身垂直平台,21082,Rock Fit,True,联合创始人,130724,154
2015-07-01 12:00:00,9999-09-09 09:09:09,环保工程,21066,安普能股份,True,联合创始人,162437,155
2009-03-01 12:00:00,9999-09-09 09:09:09,新能源项目开发与投建,21066,拜尔能源,True,创始人,162436,156
2007-11-01 12:00:00,2012-05-01 12:00:00,身边LBS应用,21049,身边网,False,联合创始人,160842,157
2014-08-01 12:00:00,9999-09-09 09:09:09,专注于互联网票据理财,21031,E票宝,True,联合创始人,159953,158
2002-10-01 12:00:00,2008-03-01 12:00:00,正版数字内容提供商，致力于成为全球领先的中文数字出版机构,21024,中文在线,False,联合创始人,5183,159
2008-03-01 12:00:00,2010-03-01 12:00:00,世界领先的钒电池公司,21024,普能科技,False,联合创始人,160198,160
2011-03-01 12:00:00,2013-12-01 12:00:00,个性化餐厅推荐引擎,20007,食神摇摇,False,创始人,1471,161
2006-01-01 12:00:00,2008-06-01 12:00:00,在线旅游媒体和专业的旅游搜索引擎,20007,酷讯旅游,False,联合创始人,5860,162
2005-09-01 12:00:00,2012-12-01 12:00:00,体育直播娱乐互动平台,20005,悠视网,False,创始人,2081,163
2000-07-01 12:00:00,2008-07-01 12:00:00,中国最大的信用风险管理软件公司,21138,安硕信息,False,联合创始人,131935,164
2012-09-01 12:00:00,9999-09-09 09:09:09,好文章推荐平台,21126,PEVCTMT,True,联合创始人,8828,165
