investDate,participant,name,latestPhase,industry,brief,investor_id,amount,phase,kr_group_id,amountUnit,id
,,PP租车,B,AUTO,一个P2P在线租车服务平台，车主可以将爱车的空闲时段出租获得收入；租客则可以按小时低价租用附近的车辆,20090,,,26327,,81
2013-08-01 00:00:00,"IDG资本,盘古创富,银泰资本,森合投资",寺库,E,E_COMMERCE,奢侈品专业服务的电商,20089,数千万,C,2296,USD,82
2014-06-01 00:00:00,"盘古创富,IDG资本",teambition,A,SOFTWARE,项目协作工具,20089,,A,4596,USD,83
2014-07-01 00:00:00,盘古创富,极客美家,A,PROPERTY_AND_HOME_FURNISHINGS,基于数据的O2O家装一站式服务平台,20089,数千万,A,27018,CNY,84
2012-03-01 00:00:00,,安卓壁纸,B,SOFTWARE,安卓壁纸软件，是一款为安卓系统手机提供免费手机壁纸的专用软件，有海量高清手机壁纸，自动适应和匹配你的,20092,,A,2719,CNY,85
2013-10-01 00:00:00,平安创新投资,搞趣网,A,GAME_ANIMATION,搞趣网是一个移动应用及手机游戏推荐分享平台。,20092,数百万,A,4563,CNY,86
2013-07-01 00:00:00,平安创新投资,武汉创游网络,A,GAME_ANIMATION,手机游戏和网页游戏开发运营商,20092,,PRE_A,138239,USD,87
2012-12-01 00:00:00,平安创新投资,工程师爸爸,B,EDUCATION_TRAINING,工程师爸爸，一个关注可触控信息终端(iPad/iPhone)上儿童教育软件需求、研发、推广产业链发展,20092,,ANGEL,3873,USD,88
2013-08-01 00:00:00,平安创新投资,智精无线,B,GAME_ANIMATION,一家手机游戏研发/发行商,20092,,PRE_A,139105,USD,89
2013-12-01 00:00:00,"亚杰基金,荷多投资",蚁视科技,A,INTELLIGENT_HARDWARE,中国3D虚拟设备的领导者。,20087,,ANGEL,140339,USD,90
2013-09-01 00:00:00,亚杰基金,拱顶石科技,A,GAME_ANIMATION,手机游戏开发商,20087,,ANGEL,138043,USD,91
2012-11-01 00:00:00,"东方元鼎资本,起源资本,亚杰基金",小能科技,A,SERVICE_INDUSTRIES,为电商网站提供在线客服解决方案的公司,20087,数百万,ANGEL,28022,CNY,92
2013-01-01 00:00:00,,缪诗网,NONE,E_COMMERCE,平价女性内衣网上购物商城,20087,,ANGEL,27781,USD,93
2014-04-01 00:00:00,亚杰基金,新开始,ANGEL,CONSUMER_LIFESTYLE,新开始是一个在线导购网，有最新的网上购物资讯、全面的独立网店信息和网购防骗方法、大型B2C商城的特价,20087,,ANGEL,29152,USD,94
2014-06-01 00:00:00,亚杰基金,爬爬步步,PRE_A,CONSUMER_LIFESTYLE,创意手工糖果品牌，中国轻奢糖果第一品牌。,20087,,ANGEL,131872,USD,95
2014-07-01 00:00:00,亚杰基金,比特币交易网,ANGEL,FINANCE,面向中国市场的比特币交易平台,20087,,ANGEL,18397,USD,96
2015-03-01 00:00:00,"崇德投资,乾道投资,陆文勇",俺来也,A,CONSUMER_LIFESTYLE,主打校园电商的O2O服务平台,20085,2630,PRE_A,142004,CNY,97
2014-12-01 00:00:00,险峰华兴,UPBOX激战联盟,ANGEL,OTHER,全方位业余足球爱好者比赛场地，赛事，战队管理提供商,20085,,ANGEL,152161,USD,98
2015-01-01 00:00:00,黑马资本,疯狂老师,B_PLUS,EDUCATION_TRAINING,疯狂老师是国内排名领先的中小学课外辅导O2O平台。,20085,数千万,PRE_A,146653,CNY,99
2014-09-01 00:00:00,,极豆车联网,ANGEL,AUTO,车载智能硬件，让每辆车都成为智能汽车,20085,,ANGEL,148017,CNY,100
2014-12-01 00:00:00,,易加油,A,AUTO,为车主提供便捷的加油体验，为油站提供互联网+解决方案,20085,,ANGEL,148018,USD,101
2014-08-01 00:00:00,,柠檬健身,ANGEL,CULTURE_SPORTS_ART,健身私教上门O2O,20085,,ANGEL,148020,USD,102
2014-12-01 00:00:00,"险峰华兴,姚欣",UPBOX激战联盟,ANGEL,OTHER,全方位业余足球爱好者比赛场地，赛事，战队管理提供商,20084,,ANGEL,152161,CNY,103
2014-10-01 00:00:00,险峰华兴,钛度电竞,PRE_A,OTHER,人皇SKY创业做的电竞外设品牌,20084,,ANGEL,152160,CNY,104
2014-01-01 00:00:00,险峰华兴,Yota美食,ANGEL,CONSUMER_LIFESTYLE,女子营养私厨服务品牌,20084,数百万,ANGEL,141670,CNY,105
2014-12-01 00:00:00,险峰华兴,千家万纺,ANGEL,OTHER,家纺零售行业B2B,20084,,ANGEL,152159,CNY,106
2014-10-01 00:00:00,险峰华兴,北纬56度,PRE_A,OTHER,互联网实木家具定制品牌,20084,200,ANGEL,140740,CNY,107
2013-09-01 00:00:00,险峰华兴,麦动,ANGEL,E_COMMERCE,服装箱包供应链B2B平台,20084,300,ANGEL,140739,CNY,108
2014-09-01 00:00:00,险峰华兴,领鲜金融,ANGEL,OTHER,面向农业大户的互联网信贷平台,20084,500,ANGEL,140738,CNY,109
2013-08-01 00:00:00,险峰华兴,MaxStone,A,INTELLIGENT_HARDWARE,多功能智能相机遥控器,20084,150,ANGEL,137118,CNY,110
2014-03-01 00:00:00,"真格基金,险峰华兴",Fittime睿健时代,A,MEDICAL_HEALTH,健身及减肥服务平台，针对不同人群给出饮食和训练的建议和指导,20084,,ANGEL,134091,USD,111
2014-03-01 00:00:00,险峰华兴,寓见,A,PROPERTY_AND_HOME_FURNISHINGS,长租品牌公寓,20084,250,ANGEL,137061,CNY,112
2012-03-01 00:00:00,险峰华兴,美柚女生助手,C,MEDICAL_HEALTH,女性经期管理手机软件,20084,50,ANGEL,11923,USD,113
2015-05-01 00:00:00,无穹创投,柚柚育儿,PRE_A,OTHER,国内最活跃的母婴社区,20088,,PRE_A,159657,USD,114
2014-03-01 00:00:00,,口碑旅行,A,TRAVEL_OUTDOORS,基于互联网搜索和大数据挖掘的出境游决策引擎,20088,,PRE_A,27851,USD,115
,,深圳捷旅,NONE,SERVICE_INDUSTRIES,国内最大的酒店批发商,20088,,,140005,,116
,,盈家公寓,A,TRAVEL_OUTDOORS,房产金融平台,20088,,,140006,,117
,,璞缇客,ANGEL,TRAVEL_OUTDOORS,精品周边度假旅游平台,20088,,,140007,,118
2014-02-01 00:00:00,,云掌柜,ANGEL,SERVICE_INDUSTRIES,客栈在线管理平台,20088,,A,31601,USD,119
,,好买基金网,B,FINANCE,好买基金网是一家第三方的基金服务、财富管理服务公司，提供基金资讯、在线交易服务。,20086,,,7664,,120
2014-10-01 00:00:00,"成为资本,经纬中国",OneAPM,C,SOFTWARE,从代码层面监测应用表现情况的性能监测工具,20083,,B,137126,USD,121
2014-03-01 00:00:00,成为资本,极飞,A,INTELLIGENT_HARDWARE,民用无人飞机和飞行控制系统的研发和制造商,20083,,A,136906,USD,122
2014-09-01 00:00:00,"成为资本,方广资本",云之讯通讯开放平台,B,SERVICE_INDUSTRIES,通信服务提供商,20083,,A,28969,USD,123
2013-12-01 00:00:00,成为资本,蜻蜓.FM,C,MEDIA,收听广播电台的工具,20083,,B,8160,USD,124
2015-04-01 00:00:00,"成为资本,光速安振中国,创新工场,富士康",小鱼在家,B,INTELLIGENT_HARDWARE,家庭智能机器人制造商,20083,,B,137028,USD,125
2015-07-01 00:00:00,"光源资本,红杉资本,成为资本",足记,A,SOCIAL_NETWORK,场景摄影社交手机应用,20082,1000,A,29195,USD,126
,,锁屏精灵,B,SOFTWARE,手机锁屏软件,20082,,,12063,,127
2012-06-01 00:00:00,奇虎360,多听网络电台,B,MEDIA,移动互联网音频分享的公司,20082,100,ANGEL,8138,CNY,128
2012-04-01 00:00:00,奇虎360,生日管家,B,CONSUMER_LIFESTYLE,提供生日服务的社交化工具,20082,200,ANGEL,620,CNY,129
2012-08-01 00:00:00,"荷多投资,奇虎360",快用苹果助手,B,SOFTWARE,工具软件，提供苹果应用软件下载,20082,数百万,ANGEL,10655,CNY,130
2012-03-01 00:00:00,奇虎360,App每日推送,A,SOFTWARE,向用户推送iPhone或者iPad上最新免费和限时免费APP的服务平台,20082,200,ANGEL,3693,CNY,131
2015-01-01 00:00:00,极客帮,挑食,A,CONSUMER_LIFESTYLE,提供知名品牌火锅在线预订和上门服务,20081,,PRE_A,131743,USD,132
2014-03-01 00:00:00,极客帮,SequoiaDB巨杉数据库,A,SERVICE_INDUSTRIES,大数据基础软件开发商,20081,30,ANGEL,30194,USD,133
,,DCloud,A,SOFTWARE,提供一款辅助程序编写软件的公司,20081,,,136968,,134
2013-12-01 00:00:00,极客帮,凌云智能,A,OTHER,两轮陀螺仪自平衡电动汽车,20081,300,ANGEL,133871,CNY,135
,,快轮科技,PRE_A,INTELLIGENT_HARDWARE,从事智能代步工具的研发、生产与销售的创新科技公司,20081,,,141177,,136
,,艺动娱乐,ACQUIRED,GAME_ANIMATION,移动游戏开发公司,20081,,,132495,,137
,,乐动卓越,A,GAME_ANIMATION,专注移动互联网游戏的开发商,20081,,,6063,,138
2013-05-01 00:00:00,"极客投资,荷多投资,极客帮",IT桔子,A,FINANCE,一个关注IT互联网行业的结构化的公司数据库和商业信息服务提供商。,20081,150,ANGEL,11665,CNY,139
,,PingWest,PRE_A,MEDIA,提供关于中国与美国的最前沿科技创业资讯的前沿科技媒体,20081,,,137991,,140
2012-06-01 00:00:00,极客帮,聚合数据,B,SERVICE_INDUSTRIES,专业从事互联网数据服务，智能手机软件开发的创新型企业,20081,100,ANGEL,136917,CNY,141
2014-10-01 00:00:00,,新银河,A,,海外推广+移动游戏运营,20080,,A,136703,USD,142
2014-10-01 00:00:00,"君联资本,贝塔斯曼亚洲投资基金",车轮,B,AUTO,车主交流社区,20080,,B,29594,USD,143
2014-07-01 00:00:00,君联资本,车团网,C,AUTO,汽车团购,20080,,A,136718,USD,144
2014-05-01 00:00:00,君联资本,微播,A,OTHER,功能强大的视频聊天交友软件,20080,,A,136719,USD,145
2014-01-01 00:00:00,"真格基金,乐搏资本,荷多投资",亿航无人机,A,INTELLIGENT_HARDWARE,Ghost 智能空中机器人,20076,数百万,ANGEL,134082,CNY,146
2013-09-01 00:00:00,平安创新投资,蘑菇公寓,B,PROPERTY_AND_HOME_FURNISHINGS,长租公寓运营商，专注于为都市白领提供创新优质的租住服务,20072,,ANGEL,136885,USD,147
2014-11-01 00:00:00,平安创新投资,免签精选游,ANGEL,TRAVEL_OUTDOORS,专注精选场景出境自由行电商平台,20072,600,ANGEL,131613,CNY,148
2014-01-01 00:00:00,"创业工场,平安创新投资",青年菜君,B,SERVICE_INDUSTRIES,餐饮解决方案提供商,20072,数百万,ANGEL,30256,CNY,149
2014-12-01 00:00:00,"平安创新投资,启明创投,58同城",宝驾租车,A,AUTO,汽车共享和租赁服务平台,20072,,A,29035,USD,150
,,e洗车,A,AUTO,上门洗车服务平台,20072,,,137098,,151
2014-12-01 00:00:00,"晨兴资本,平安创新投资",乔布简历,A,SOFTWARE,面向年轻人的职业发展平台,20072,千,A,765,USD,152
2014-10-01 00:00:00,"云天使基金,平安创新投资",黑白校园,ANGEL,SOCIAL_NETWORK,高校生活服务平台,20072,数百万,ANGEL,31382,CNY,153
2015-05-01 00:00:00,,燃也,ANGEL,GAME_ANIMATION,燃也，以动态漫画孵化漫画IP。,20070,,ANGEL,140468,CNY,154
2014-09-01 00:00:00,经纬中国,JUJU,ANGEL,GAME_ANIMATION,服务于二次元的社交APP,20070,,ANGEL,136953,USD,155
,,爱豆,A,MEDIA,由垂直媒体、互动社区和活动平台组成的追星平台,20070,,,132448,,156
2014-02-01 00:00:00,经纬中国,笨鸟海淘,A,SERVICE_INDUSTRIES,第三方转运物流服务商,20070,,ANGEL,29280,USD,157
,,河狸家,C,CONSUMER_LIFESTYLE,提供美甲及化妆上门服务的O2O手机应用,20074,,,133805,,158
2014-10-01 00:00:00,"源码资本,光信资本,红杉资本",一亩田,B,E_COMMERCE,主打农业的商务服务网站,20074,,B,138262,USD,159
2015-03-01 00:00:00,光信资本,老师来了,A,EDUCATION_TRAINING,家教平台,20074,,A,31615,USD,160
2014-07-01 00:00:00,光信资本,secken,ANGEL,OTHER,DNSpod创始人新创业项目,20074,,ANGEL,136835,USD,161
2012-09-01 00:00:00,"荷多投资,平安创新投资",明星衣橱,C,E_COMMERCE,致力于帮助女孩买到和明星一样的衣服的时尚购物类APP,20074,数十万,ANGEL,7921,CNY,162
2015-01-01 00:00:00,"光速安振中国,平安创新投资",i-EVER美课美妆,A,MEDIA,美妆微视频媒体平台,20074,,ANGEL,133912,USD,163
2014-10-01 00:00:00,光信资本,每日优鲜,A,OTHER,一家专注优质生鲜的特卖网站,20074,,ANGEL,136834,USD,164
2015-01-01 00:00:00,创新谷,微咔-WeCut,ANGEL,SOCIAL_NETWORK,95后图片兴趣社交产品,20075,,ANGEL,32106,USD,165
2015-07-01 00:00:00,"创新谷,英诺天使基金",目的地旅行网,ANGEL,TRAVEL_OUTDOORS,国外私人向导预定平台,20075,数百万,ANGEL,133136,CNY,166
2013-06-01 00:00:00,创新谷,友推,ANGEL,SERVICE_INDUSTRIES,移动应用组件服务提供商,20075,,ANGEL,28994,USD,167
2014-06-01 00:00:00,创新谷,PingWest,PRE_A,MEDIA,提供关于中国与美国的最前沿科技创业资讯的前沿科技媒体,20075,,PRE_A,137991,USD,168
2013-11-01 00:00:00,"荷多投资,创新谷",罐头生活,ANGEL,E_COMMERCE,精致家居生活用品分享及导购网站,20075,数百万,ANGEL,12294,CNY,169
2015-08-01 00:00:00,,第一弹,NONE,SOCIAL_NETWORK,二次元社区和二次元电商,20075,,ANGEL,132521,USD,170
2014-12-01 00:00:00,创新谷,V5智能客服,ANGEL,SERVICE_INDUSTRIES,为网站、微信和易信等平台提供智能机器人的系统,20075,,ANGEL,9348,USD,171
2014-10-01 00:00:00,创新谷,购快,ANGEL,OTHER,开在手机上的7-11便利店，30分钟送货上门,20075,数百,ANGEL,140332,CNY,172
2015-01-01 00:00:00,,一瞬,ANGEL,SOFTWARE,短视频生活记录平台,20075,,ANGEL,34565,CNY,173
2014-08-01 00:00:00,创新谷,十年后,PRE_A,SOCIAL_NETWORK,基于未来人生规划的陌生人社交平台,20075,数百万,ANGEL,27315,CNY,174
2014-10-01 00:00:00,创新谷,说唱家,ANGEL,OTHER,录制、发现、分享你的说唱音乐,20075,数百,ANGEL,140331,CNY,175
