investDate,name,company_url,investor_id,amount,phase,id
2013年1月,漫步南锣鼓巷,http://itjuzi.com/company/92,10379,数百万人民币,种子天使,150
2015年8月,董火锅,http://itjuzi.com/company/25785,10380,500万,种子天使,151
2014年9月,住吧网,http://itjuzi.com/company/13786,10380,1000万,种子天使,152
2014年9月,先花花,http://itjuzi.com/company/11128,10380,2000万,A轮,153
2014年8月,快快鱼APP,http://itjuzi.com/company/13801,10380,500万,种子天使,154
2014年8月,哈达旅行网,http://itjuzi.com/company/12879,10380,1000万,A轮,155
2014年6月,人人聘,http://itjuzi.com/company/15673,10380,数百万人民币,种子天使,156
2014年6月,亿采网,http://itjuzi.com/company/16366,10380,数百万人民币,种子天使,157
2014年1月,海玩网,http://itjuzi.com/company/9053,10380,数百万人民币,种子天使,158
2014年1月,游啊游旅行网,http://itjuzi.com/company/12713,10380,数百万人民币,种子天使,159
2013年10月,提分网,http://itjuzi.com/company/5298,10380,数百万人民币,种子天使,160
2013年1月,水滴宝宝,http://itjuzi.com/company/5742,10380,数十万人民币,种子天使,161
2013年1月,美集,http://itjuzi.com/company/6287,10380,数百万人民币,种子天使,162
2010年1月,大掌门,http://itjuzi.com/company/928,10380,数百万人民币,种子天使,163
2015年4月,青苔债管家,http://itjuzi.com/company/24383,10397,数百万人民币,种子天使,164
2011年8月,我查查,http://itjuzi.com/company/1529,10402,1200万,A轮,165
2014年9月,四万公里,http://itjuzi.com/company/13735,10409,1000万,种子天使,166
2014年8月,旅行派,http://itjuzi.com/company/11932,10409,500万,种子天使,167
2014年8月,丸子地球,http://itjuzi.com/company/825,10409,1000万,A轮,168
2014年7月,麦子学院,http://itjuzi.com/company/2149,10409,数千万人民币,A轮,169
2014年4月,每日瑜伽,http://itjuzi.com/company/762,10411,1000万,种子天使,170
2014年2月,天玩浏览器,http://itjuzi.com/company/10148,10416,数百万人民币,种子天使,171
2014年2月,真格贷,http://itjuzi.com/company/6709,10417,500万,种子天使,172
2012年9月,广州初见,http://itjuzi.com/company/5581,10419,1000万,A轮,173
2014年3月,深圳妙玉裳,http://itjuzi.com/company/9400,10422,数百万人民币,种子天使,174
2013年11月,11game上海长鹰软件,http://itjuzi.com/company/9351,10422,1000万,A轮,175
2013年10月,包子游戏中心,http://itjuzi.com/company/7931,10422,数百万人民币,种子天使,176
2013年7月,致尚趣拿,http://itjuzi.com/company/9402,10422,数百万人民币,种子天使,177
2013年3月,上海闻宇网络Movegame,http://itjuzi.com/company/8812,10422,数百万人民币,种子天使,178
2013年1月,厦门妮东科技Ugamehome,http://itjuzi.com/company/9404,10422,未透露人民币,A轮,179
2013年1月,Moviebook影谱传媒,http://itjuzi.com/company/4967,10422,数百万人民币,种子天使,180
2012年5月,旅行淘,http://itjuzi.com/company/1978,10422,数十万人民币,种子天使,181
2014年4月,UTHING游心旅行,http://itjuzi.com/company/10265,10426,数百万人民币,种子天使,182
2012年1月,擎天柱,http://itjuzi.com/company/7922,10432,数千万人民币,A轮,183
2014年2月,Raiing睿仁医疗,http://itjuzi.com/company/387,10435,1000万,种子天使,184
2013年10月,魔方英语,http://itjuzi.com/company/2139,10435,800万,种子天使,185
2013年1月,爱评网iPeen,http://itjuzi.com/company/8959,10436,数百万美元,B轮,186
2012年1月,网票网,http://itjuzi.com/company/8957,10436,数千万人民币,B轮,187
2010年1月,智龙软件,http://itjuzi.com/company/8956,10436,未透露人民币,A轮,188
2011年1月,悠游堂Yuyuto,http://itjuzi.com/company/8960,10437,数千万人民币,A轮,189
2010年7月,恒知网,http://itjuzi.com/company/3636,10443,数千万人民币,A轮,190
2009年1月,爱帮网,http://itjuzi.com/company/9000,10443,数千万美元,B轮,191
2012年4月,优曼家纺Umanto,http://itjuzi.com/company/2431,10448,数百万人民币,种子天使,192
2011年3月,全通教育,http://itjuzi.com/company/8170,10448,数千万人民币,不明确,193
2011年9月,捷通华声,http://itjuzi.com/company/8344,10450,数千万人民币,A轮,194
2015年5月,河马换车,http://itjuzi.com/company/23751,10452,数百万人民币,种子天使,195
2014年11月,博湃养车,http://itjuzi.com/company/14817,10452,数千万人民币,A轮,196
2014年9月,买好车,http://itjuzi.com/company/17382,10452,300万,种子天使,197
2014年8月,273二手车-车友网络,http://itjuzi.com/company/7279,10452,数千万美元,B轮,198
2014年6月,美图秀秀,http://itjuzi.com/company/7172,10452,数千万美元,C轮,199
2014年6月,天天用车,http://itjuzi.com/company/11948,10452,数百万美元,A轮,200
2014年6月,51用车,http://itjuzi.com/company/17213,10452,1000万,B轮,201
2014年6月,Fineck智能项链,http://itjuzi.com/company/11016,10452,数百万人民币,种子天使,202
2014年2月,车易拍,http://itjuzi.com/company/3602,10452,5000万,C轮,203
2014年1月,VIPKID少儿英语,http://itjuzi.com/company/8811,10452,数百万人民币,种子天使,204
2014年1月,51用车,http://itjuzi.com/company/17213,10452,1000万,A轮,205
2013年4月,易到用车,http://itjuzi.com/company/130,10452,1500万,B轮,206
2013年4月,泰捷软件Togic-泰捷视频,http://itjuzi.com/company/1632,10452,数千万人民币,A轮,207
2015年3月,FORK叉子相机,http://itjuzi.com/company/20804,10453,数百万人民币,种子天使,208
2015年1月,墨明棋妙,http://itjuzi.com/company/23196,10453,数百万人民币,A轮,209
2014年10月,三国之乱舞,http://itjuzi.com/company/14232,10453,数百万人民币,种子天使,210
2014年7月,66RPG橙光游戏中心,http://itjuzi.com/company/12472,10453,数百万美元,A轮,211
2014年1月,翻翻动漫,http://itjuzi.com/company/12180,10453,数千万人民币,A轮,212
2014年1月,半次元网,http://itjuzi.com/company/3445,10453,数百万美元,A轮,213
2014年1月,找你妹3,http://itjuzi.com/company/8565,10455,1000万,种子天使,214
2010年1月,大掌门,http://itjuzi.com/company/928,10455,数百万人民币,种子天使,215
2014年1月,青云QingCloud,http://itjuzi.com/company/2367,10458,2000万,B轮,216
2014年2月,ANYMO艾茉,http://itjuzi.com/company/8760,10459,未透露人民币,收购,217
2012年5月,素缕Souline,http://itjuzi.com/company/8762,10459,未透露人民币,收购,218
2014年12月,芝士阅读,http://itjuzi.com/company/20652,10462,数百万人民币,种子天使,219
2014年7月,美天MeiToday,http://itjuzi.com/company/15843,10462,数百万人民币,种子天使,220
2014年1月,字体管家,http://itjuzi.com/company/8808,10462,未透露人民币,种子天使,221
2013年8月,家电管家,http://itjuzi.com/company/3096,10462,170万,种子天使,222
2013年1月,LavaRadio,http://itjuzi.com/company/1872,10462,数百万人民币,种子天使,223
2013年1月,北京恒易蓝云软件,http://itjuzi.com/company/2812,10462,数百万人民币,种子天使,224
2012年10月,多多藏享,http://itjuzi.com/company/232,10462,数十万人民币,种子天使,225
2012年5月,Taplink games涵凌网络,http://itjuzi.com/company/8828,10462,数百万人民币,种子天使,226
2012年1月,闪传,http://itjuzi.com/company/2222,10462,数十万人民币,种子天使,227
2011年12月,水母互动,http://itjuzi.com/company/2815,10462,数十万人民币,种子天使,228
2013年11月,快乐工场JoyWorks,http://itjuzi.com/company/8136,10466,200万,A轮,229
2011年10月,优士网,http://itjuzi.com/company/7873,10466,300万,B轮,230
2010年10月,优士网,http://itjuzi.com/company/7873,10466,1000万,A轮,231
2015年7月,作业盒子,http://itjuzi.com/company/23410,10474,1000万,A轮,232
2015年1月,蜜蜂收纳,http://itjuzi.com/company/25656,10476,数百万人民币,种子天使,233
2013年5月,住趣家居网,http://itjuzi.com/company/4295,10476,数百万人民币,种子天使,234
2015年3月,缘创派,http://itjuzi.com/company/1257,10477,360万,A轮,235
2014年3月,快乐学,http://itjuzi.com/company/4350,10477,500万,A轮,236
2013年5月,快乐学,http://itjuzi.com/company/4350,10477,数百万人民币,种子天使,237
2011年8月,米折网,http://itjuzi.com/company/27,10479,数百万人民币,种子天使,238
2005年4月,晶方科技,http://itjuzi.com/company/8849,10486,数千万美元,A轮,239
2012年8月,聚尚网,http://itjuzi.com/company/4648,10487,3000万,B轮,240
2008年3月,百程旅行网(佰程旅行),http://itjuzi.com/company/7493,10487,1000万,A轮,241
2013年7月,车纷享,http://itjuzi.com/company/2620,10489,1000万,A轮,242
2010年1月,慧达驿站,http://itjuzi.com/company/7614,10489,数百万人民币,种子天使,243
2012年1月,Yucmedia,http://itjuzi.com/company/7684,10491,数百万人民币,种子天使,244
2013年1月,简乐互动,http://itjuzi.com/company/7706,10494,未透露人民币,不明确,245
2013年9月,inWatch映趣科技,http://itjuzi.com/company/940,10501,2000万,A轮,246
2013年2月,无锡守护科技,http://itjuzi.com/company/5952,10501,数百万人民币,种子天使,247
2013年1月,一米有茶,http://itjuzi.com/company/5975,10501,数百万人民币,A轮,248
2013年11月,八爪鱼在线旅游,http://itjuzi.com/company/6469,10503,15000万,A轮,249
2015年7月,星客多快剪,http://itjuzi.com/company/24107,10504,数百万美元,种子天使,250
2015年3月,云麦好轻,http://itjuzi.com/company/12758,10504,数百万人民币,种子天使,251
2014年8月,约拍,http://itjuzi.com/company/9371,10504,300万,种子天使,252
2014年6月,亿采网,http://itjuzi.com/company/16366,10504,数百万人民币,种子天使,253
2013年10月,GMAT加分宝,http://itjuzi.com/company/6576,10504,数百万人民币,种子天使,254
2013年2月,iCareNewlife快乐妈咪胎语仪,http://itjuzi.com/company/816,10504,数百万人民币,种子天使,255
2013年1月,极路由HiWiFi,http://itjuzi.com/company/1024,10504,数百万人民币,种子天使,256
2012年12月,飞速,http://itjuzi.com/company/94,10504,数百万人民币,种子天使,257
2012年10月,一战到底,http://itjuzi.com/company/1568,10504,数百万人民币,种子天使,258
2012年10月,答题王,http://itjuzi.com/company/6320,10504,数百万人民币,种子天使,259
2010年6月,雪球财经,http://itjuzi.com/company/960,10504,数百万人民币,种子天使,260
2006年1月,汽车之家,http://itjuzi.com/company/6357,10504,数百万人民币,种子天使,261
2014年10月,微己时代-Ans安的鸡尾酒,http://itjuzi.com/company/16541,10509,数百万人民币,种子天使,262
2014年6月,疯蜜FM,http://itjuzi.com/company/16537,10509,数百万人民币,种子天使,263
2014年6月,Joyplus秀视智能,http://itjuzi.com/company/1025,10510,数百万人民币,种子天使,264
2014年3月,37健康37mhealth,http://itjuzi.com/company/4789,10512,1000万,种子天使,265
2014年2月,Raiing睿仁医疗,http://itjuzi.com/company/387,10512,1000万,种子天使,266
2013年8月,加速度,http://itjuzi.com/company/5425,10512,数百万人民币,种子天使,267
2013年2月,Bookfaces似颜绘,http://itjuzi.com/company/1756,10512,600万,种子天使,268
2013年9月,谁是卧底VoiceGame,http://itjuzi.com/company/857,10514,300万,种子天使,269
2013年9月,花儿影视,http://itjuzi.com/company/5122,10519,90000万,收购,270
2014年3月,疯子游戏助手,http://itjuzi.com/company/9650,10520,数百万人民币,种子天使,271
2013年10月,PP助手,http://itjuzi.com/company/1357,10520,亿元及以上人民币,收购,272
2013年9月,乐讯科技,http://itjuzi.com/company/5842,10520,数千万人民币,B轮,273
2013年1月,游戏狗,http://itjuzi.com/company/3898,10520,数千万人民币,A轮,274
2013年1月,聚云网络,http://itjuzi.com/company/6165,10520,数百万人民币,种子天使,275
2013年1月,PingWest,http://itjuzi.com/company/4955,10520,数百万人民币,种子天使,276
