startDate,endDate,name,investor_id,position,id
,,正轩投资/夏佐全,10154,董事长,284
,,比亚迪,10154,,285
,,凯兴资本,10155,执行合伙人,286
,,飞马基金/飞马旅,10156,执行合伙人,287
,,易凯资本,10157,创始人,288
,,摩根大通 ,10157,,289
,, 高盛,10157,,290
,,峰谷资本,10158,合伙人,291
,,七海资本,10159,创始合伙人,292
,,网易 ,10159,,293
,, 新浪 ,10159,,294
,, Cisco思科 ,10159,,295
,, eBay易趣,10159,,296
,,七海资本,10160,创始合伙人,297
,,腾讯,10160,,298
,,麦星投资管理,10161,执行合伙人,299
,,麦星投资管理,10162,合伙人,300
,,中信,10162,,301
,,麦星投资管理,10163,合伙人,302
,,中经合集团,10163,,303
,,掌趣创享基金,10164,合伙人,304
,,贝塔斯曼亚洲投资基金/Betafund,10165,投资经理,305
,,中信,10165,,306
,,贝塔斯曼亚洲投资基金/Betafund,10166,投资经理,307
,,罗兰贝格,10166,,308
,,贝塔斯曼亚洲投资基金/Betafund,10167,投资经理,309
,,摩根大通 ,10167,,310
,, UBS瑞银,10167,,311
,,贝塔斯曼亚洲投资基金/Betafund,10168,高级投资助理,312
,,考拉资本,10169,创始合伙人,313
,,考拉资本,10170,创始合伙人,314
,,中央电视台,10170,,315
,,基因资本,10171,创始合伙人,316
,,学而思教育,10171,,317
,,进化资本,10172,创始人,318
,,经纬中国,10173,分析师,319
,,天使投资人吴宵光,10174,天使投资人,320
,,腾讯,10174,,321
,,赛马资本,10175,董事长,322
,,崭越资本,10176,合伙人,323
,,长石资本,10177,创始合伙人,324
,,TCL,10177,,325
,,同渡创投,10178,投资经理,326
,,同渡创投,10179,创始合伙人,327
,,中国平安 ,10179,,328
,, LG电子,10179,,329
,,全时,10180,创始人,330
,,RRJ资本,10181,董事长&首席执行官,331
,,高盛 ,10181,,332
,, 厚朴投资,10181,,333
,,RRJ资本,10182,联席董事长&联席首席执行官,334
,,德意志银行 ,10182,,335
,, 淡马锡,10182,,336
,,鼎典资本,10183,董事长,337
,,鼎典资本,10184,董事,338
,,华创资本,10185,投资经理,339
,,粤商创投,10186,董事长,340
,,Dreamit,10187,Ventures 合伙人,341
,,汉威电子,10188,董事长,342
,,多赢,10189,董事长,343
,,二三四五投资基金/2345网络,10190,创始管理合伙人,344
,,盛大,10190,,345
,,米仓资本,10191,创始合伙人,346
,,北京众海投资,10192,创始合伙人,347
