startDate,endDate,name,investor_id,position,id
2005年,2008年,Oracle中国,104,政府和业务拓展经理,140
2004年,2005年,德勤,104,审计,140
2006年,2011年,中广核大亚湾核电,105,风险管理,141
2012年,2015年,菁葵投资,105,投资总监,141
2015年,2015年,盈动投资,105,投资总监,141
2008年,2015年,经纬中国,106,投资董事,142
2011年,2013年,CA创投 CyberAgent Ventures,107,投资经理,143
2009年,2014年,晨兴创投,108,VP,145
2014年,2015年,策源创投,108,合伙人,145
2007年,2008年,联创策源创投基金,109,投资经理,146
2009年,2014年,红杉资本中国基金,109,副总裁,146
2015年,2015年,源码资本,109,合伙人,146
2014年,2015年,盈动投资,110,高级投资经理,147
2009年,2014年,同威创投,111,副总裁,148
2014年,2015年,创享投资,111,合伙人,148
2011年,2014年,百度,112,百度贴吧产品经理,149
2001年,2005年,普华永道,113,系统与流程管理高级顾问,150
2008年,2010年,德勤财务咨询,113,并购交易高级顾问,150
2010年,2015年,CyberAgent创投,113,上海总经理,150
2015年,2015年,博派资本,114,分析师,151
2013年,2015年,百度,115,战略分析官/商业产品经理,154
2015年,2015年,执一资本,115,投资经理,154
2010年,2013年,百度,116,高级经理,155
2013年,2014年,凤凰网,116,投资部,155
2015年,2015年,执一资本,117,投资总监,156
2013年,2014年,红点投资,117,高级分析师,156
2011年,今年,华映资本,118,董事,158
2006年,2011年,卓越金融,118,常务副总,158
1999年,2001年,新东方学校,119,GRE/GMAT主讲,160
2007年,2008年,晨兴创投,119,投后管理,160
2009年,2011年,JIGOCITY,119,联合创始人,160
2012年,2014年,合力投资,119,GP合伙人,160
2014年,2015年,同度创投,120,创始合伙人,162
2009年,2014年,LB投资,120,中国区董事,162
2008年,2009年,平安直接投资,120,投资经理,162
2002年,2006年,Agere Systems,120,高级集成电路设计师,162
2004年,2015年,华创资本,121,合伙人,163
2013年,2014年,极梦网,122,创始人,164
2014年,至今年,华创资本,122,投资经理,164
2015年,2015年,日本JTB,123,产品策划/市场运营,166
2015年,2015年,Net Frontier,123,海外新事业部负责人,166
2010年,2015年,CA创投,123,深圳总经理,166
,,中国移动,124,,168
2011年,2012年,腾讯,124,高级投资经理,168
2012年,2014年,掌趣科技,124,投资总监,168
2014年,至今年,创享投资,124,创始合伙人,168
2009年,2012年,Nomura Research Institute,125,咨询顾问,169
2008年,2009年,百度,125,PM,169
2012年,2015年,新进创投,126,管理合伙人,169
2010年,2014年,腾讯集团战略部和投资部,127,高级投资经理,170
2014年,2015年,晨兴资本,127,投资经理,170
2010年,2014年,天鸽集团,128,首席策略官,171
2015年,2015年,逐鹿资本,129,投资总监,172
2014年,2015年,上海方创投资管理有限公司,129,项目经理,172
2013年,2014年,上海藩唐电子商务有限公司,129,合伙人,172
2012年,2013年,搜房、腾讯,129,互联网房产媒体,172
2010年,2012年,上海悟衡信息科技有限公司,129,合伙人,172
2014年,2015年,边锋集团投资部,130,投资经理,175
2013年,2015年,京东,131,高级投资经理,176
2015年,2015年,熊猫资本,132,投资经理,177
2014年,2015年,理理财,132,创始合伙人&CEO,177
2013年,2015年,华映资本,133,投资经理,179
2006年,2008年,解放日报报业集团,134,投资经理,180
2008年,2009年,上海新华传媒股份有限公司,134,战略投资总监,180
2010年,2015年,合鲸资本,134,合伙人,180
2012年,2015年,浙商创投,135,上海地区总经理,182
2012年,2015年,中路资本,136,合伙人,184
2011年,2012年,上海尼尔森市场研究有限公司,136,分析师,184
2012年,2015年,维思资本,137,投资者关系高级经理,185
2015年,2015年,青骢资本,137,董事总经理,185
2014年,2015年,红杉资本中国,138,副总裁,186
2010年,2013年,同创伟业,138,TMT投资总监,186
2009年,2015年,深创投,138,投资部,186
,,Nomura Securities,139,AVP,188
,,Barclays Capital,139,Analyst,188
,,科宝.博洛尼,140,创始人/CEO,188
2014年,2015年,戈壁投资,141,投资经理,189
2015年,2015年,启赋资本,142,投资经理,190
2014年,2015年,前海股权交易中心,142,项目经理,190
2011年,2015年,中路资本,143,合伙人,191
2007年,2009年,花旗集团,144,分析师,192
2009年,2012年,华能景顺投资,144,分析师,192
2012年,2014年,Hudson Clean Energy Partners,144,投资经理,192
2014年,2015年,凯旋创投,144,副总裁,192
2014年,2015年,百度,145,商业分析师,193
2015年,2015年,熊猫资本,146,投资经理,195
2014年,2015年,复星集团,146,投资经理,195
2012年,2015年,时尚集团,147,投资主管,197
2009年,2012年,SK电讯,147,管理培训生（战略投资方向）,197
2008年,2012年,德勤管理咨询(Deloitte Consulting),148,管理咨询顾问,198
2012年,2015年,戈壁创投,148,高级投资总监,198
2003年,2008年,戈壁创投,149,VP,200
2000年,2001年,城市通,149,总监,200
2013年,2015年,复星昆仲,150,合伙人,201
2015年,至今年,IDG,151,投资分析师,202
2014年,2014年,复星昆仲,151,投资分析师（实习）,202
2009年,2012年,盛大18基金,152,投资经理,202
2012年,2013年,第七大道,152,,202
2013年,2015年,岂凡创优基金,152,投资总监,202
2014年,2015年,光速安振,153,副总裁,203
2014年,2014年,银泰资本,153,投资总监,203
2012年,2013年,华岩资本,153,高级投资经理,203
2009年,2012年,汉理资本,153,投资经理,203
2012年,2015年,华映资本,154,分析师,204
2014年,2015年,世铭投资,155,投资副总监,205
2011年,2014年,以色列英飞尼迪股权投资基金,155,高级投资经理,205
2014年,2015年,真顺基金,156,创始合伙人,207
2011年,2014年,真格基金,156,投资合伙人,207
2009年,2011年,机锋网,157,Web Master,208
2012年,2014年,第九城市,157,运营主管,208
2014年,2015年,IDG资本,158,投资经理,209
2012年,至今年,云天使基金,159,VP,211
2002年,2008年,21世纪商业报道,161,首席记者,214
2008年,2010年,理财周报,161,副主编,214
2010年,2014年,中路资本,161,副总裁,214
2014年,至今年,长石资本,161,创始合伙人,214
2012年,2014年,艾瑞咨询集团,162,高级客户经理,215
2014年,2015年,CA创投,162,投资经理,215
2014年,2015年,盈动投资,163,投资经理,216
2013年,2014年,创业家,164,主编,217
2012年,2013年,虎嗅网,164,创始团队成员,217
2015年,2015年,红点投资,165,高级投资经理,218
2014年,2015年,纪源资本,166,投资经理,219
2009年,2015年,恺英网络,167,COO,221
2007年,2009年,凯鹏华盈中国基金,167,副总裁,221
2005年,2007年,麦肯锡咨询,167,分析师,221
2000年,2003年,埃森哲咨询,167,分析师,221
2014年,2015年,源码资本,168,投资经理,222
2000年,2011年,传媒机构,169,总监,223
2011年,2015年,华映资本,169,执行董事,223
2009年,2014年,联合利华,170,市场部管理培训生,225
2014年,2014年,欧莱雅,170,高级产品经理,225
2014年,2015年,原子创投,170,投资经理,225
,,杭州日报报业集团《风景名胜》,171,品牌总监,226
,,国务院发展研究中心《中国经济报告》,171,华东代表处主任,226
,,新加坡祥德集团,171,副总经理,226
2015年,2015年,动域资本,172,副总裁,227
2015年,2015年,动域资本,173,VP,228
2008年,2011年,华威国际集团CID,174,投资经理,229
2011年,2012年,景林资产,174,投资经理,229
2012年,2014年,东方富海,174,副总监,229
2014年,2015年,普维投资,174,副总裁,229
