id,name,position,brief,investStart,investCount,investNextPhase,investQuit,investPhases,investLimit,investPlan,focusIntustry,city
64,徐炜,执一资本 • 早期投资,曾投资旅游 、金融、分享经济里的相关项目,2012,5,3,,Pre-A 轮、A 轮,600W - 50000W 人民币,5 个,汽车、智能硬件、分享经济、互联网金融,北京、上海、广州、深圳、杭州
65,汪天凡,贝塔斯曼亚洲投资基金 • 投资经理,"曾投资：Keep，妙计旅行，小站教育，MONO, 兔卡二手车，企鹅吃喝指南，职业梦，托福easy姐，车轮，易酒批等。",2011,10,4,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮、C 轮、D 轮、D 轮以上,100W - 6000W 人民币,5 个,技术创新、金融、教育培训、汽车、机器人,北京、上海、深圳、杭州
66,王刚,个人 • 天使投资人,曾投资：滴滴打车、养车点点、运满满、友友租车、盈盈理财。,,70,55,,种子轮/天使轮、Pre-A 轮,100W - 300W 人民币,30 个,生活方式、B2B、O2O,北京、杭州
67,王维玮,华映资本 • 董事,曾投资：艾德思奇，微盟，小恩爱，品众互动，聚橙网等。,2010,25,20,,Pre-A 轮、A 轮,500W - 4000W 人民币,8 个,消费升级、移动互联网、文化新媒体,北京、上海
68,丁海鹏,贝塔斯曼亚洲投资基金 • 合伙人,曾投资：蘑菇街、UCloud、团车网、iClick、分期乐、拉勾网、大姨吗、春雨医生等,2007,20,15,1,A 轮、B 轮、C 轮,1000W - 20000W 人民币,8 个,社交、电商、智能硬件、工具应用/平台、企业级应用/服务,北京、上海、广州、深圳、杭州
69,杨轩,曲速资本 • 管理合伙人,曾投资：虎嗅、微拍、SegmentFault、车商通、房产销冠、缔安科技、雷科技等。,2011,15,6,3,种子轮/天使轮、Pre-A 轮、A 轮,50W - 1000W 人民币,15 个,金融、O2O、SaaS、分享经济,北京、上海、深圳、杭州、海外
70,滑雪,心元资本 • 合伙人,曾投资：对味、昂腾智造、特赞等。,2011,10,5,,种子轮/天使轮,100W - 300W 人民币,10 个,海外市场、医疗健康、教育培训、消费互联网、工具软件,北京、上海
71,王欣,零一创投 • 助理副总裁,曾投资：比菜价，搜芽。关注B2B交易平台、企业服务SaaS、电商、金融及物流领域,2014,3,1,,种子轮/天使轮、Pre-A 轮、A 轮,200W - 2000W 人民币,10 个,金融、企业级应用/服务、B2B、O2O、电商平台,北京、上海、深圳
72,凌代鸿,旦恩创投 • 创始合伙人,"曾投资：收货宝，迪纳科技，恒源汽车，云联科技等。寻找""工业4.0""项目",2008,43,31,1,Pre-A 轮、A 轮,200W - 3000W 人民币,15 个,医疗健康、文创、O2O,北京、上海、广州、深圳
73,郝菁菁,中路资本 • 副总裁,曾投资：甜派、爱牙等。,2012,9,5,,种子轮/天使轮、Pre-A 轮,100W - 1000W 人民币,10 个,母婴、女性、消费互联网、O2O、B2B,上海
74,韩冰,险峰华兴 • 副总裁,曾投资：美柚、寓见、融誉、领鲜、Fittime,2012,29,14,1,种子轮/天使轮、Pre-A 轮,50W - 1000W 人民币,15 个,女性、新内容生态、农业、生活方式、社区、B2B、O2O,上海
75,潘翔,光速安振中国基金  • 副总裁,曾投资：e代驾、青云、运满满、易快修。关注汽车、O2O和社交类产品。,2011,5,3,,A 轮,500W - 5000W 人民币,5 个,汽车、交通、O2O、社交,北京、上海、杭州
76,姚海波,复星昆仲资本 • 执行董事,曾投资：随手记、柔宇科技、FORMAX、英威诺、极光推送（jpush）,2006,30,30,,种子轮/天使轮、Pre-A 轮、A 轮,0W - 12000W 人民币,5 个,互联网金融、智能硬件、O2O、B2B、企业级应用/服务,北京、上海、广州、深圳、厦门、珠海
77,段誉,顺为资本 • 投资经理,曾投资：云造电动车、Yeelight、 硬派健身、知米英语等。,2013,12,10,,Pre-A 轮、A 轮,300W - 2000W 人民币,5 个,消费电子、机器人、农业、地产、智能硬件,北京、深圳
78,李恒,德同资本 • 投资经理,曾投资：海润影视，汉鼎咨询，影谱科技，疯贴，节操精选。,2010,5,3,,种子轮/天使轮、Pre-A 轮、A 轮,100W - 4000W 人民币,3 个,二次元、内容聚合、社交、图片、新内容生态,北京
79,丛真,经纬中国 • 合伙人,曾投资：有赞、饿了么、JUJU、美味不用等、爱拍等。,2007,25,25,,种子轮/天使轮、Pre-A 轮,500W - 3000W 人民币,未确定,O2O、二次元、新内容生态、房产,北京、上海、广州、深圳、杭州
80,郑恺还,德同资本 • 投资总监,曾投资：e家洁。,2011,10,4,,A 轮、B 轮、D 轮以上,0W - 6000W 人民币,5 个,消费、O2O、汽车,北京、杭州
81,程果,中路资本 • 合伙人,曾投资：正益无线，来一火，悦体。,2013,5,3,,种子轮/天使轮、Pre-A 轮,100W - 500W 人民币,3 个,社交、O2O,上海
82,蒋文,小米投资部 • 内容业务负责人,曾投资：爱奇艺、华策、天马时空、黑金时尚。,2012,15,4,1,种子轮/天使轮、Pre-A 轮、A 轮,200W - 2000W 人民币,10 个,娱乐、新内容生态、二次元、手游、动漫,北京
83,韩建明,弘鹰投资 • 投资总监,曾投资：惠锁屏、星河互动、爱购网等。,2010,7,3,,种子轮/天使轮、Pre-A 轮、A 轮,300W - 2000W 人民币,4 个,消费互联网、智能硬件、物联网、手游、大数据,广州、深圳
84,王秋,戈壁投资 • 投资总监,曾投资：聚富科技，Oculii，国科天成，索福人能源等。,2013,4,2,,种子轮/天使轮、Pre-A 轮、A 轮,100W - 6000W 人民币,3 个,VR、汽车、农业、商业智能/BI、新制造业,北京
85,于隽,人人公司 • 战略发展部总监,曾投资：金斧子、罗计物流、快狗快运等。,2013,13,,,Pre-A 轮、A 轮、B 轮、C 轮,200W - 60000W 人民币,15 个,金融、物联网、智能硬件、汽车、B2B,北京
86, 蒋雨潇,云天使基金 • 分析师,曾参与投资：麦客、销售易、worktile、杏树林,2015,1,1,,种子轮/天使轮、Pre-A 轮,100W - 600W 人民币,10 个,VR、旅游、SaaS、分享经济、技术创新,北京
87,俞一锟,熊猫资本 •  投资经理,曾投资：Lookingplas，家十分。熊猫资本，把你当宝,2015,,,,种子轮/天使轮、Pre-A 轮、A 轮,500W - 5000W 人民币,6 个,金融、消费互联网、地产、汽车、O2O,上海
