investDate,participant,name,latestPhase,industry,brief,investor_id,kr_id,amount,phase,kr_group_id,amountUnit,id
1396281600000,联想之星,加丁科技,ANGEL,OTHER,母婴工具,749,10654,,ANGEL,133212,USD,992
1404144000000,,AbelCloud,NONE,,智能硬件云平台,749,10654,,ANGEL,133213,USD,993
1420041600000,,HWTrek,NONE,,智能硬件供应链平台,749,10654,,A,133214,USD,994
1406822400000,,星云智能硬件加速器,NONE,,智能硬件加速器,749,10654,,ANGEL,133215,USD,995
1401552000000,国富源投资,小区管家,B,CONSUMER_LIFESTYLE,专注于小区服务产品开发的服务商,750,10314,200,ANGEL,26901,CNY,996
,,B仔外卖网,NONE,CONSUMER_LIFESTYLE,外卖平台，致力于为用户提供最快捷的在线订餐服务,750,10314,,,29265,,997
1401552000000,,华人天地,NONE,,是一家集影视、广告策划拍摄、后期制作及专业3D特效制作为一体,750,10314,1000,A,133897,CNY,998
1372608000000,"中路资本,国富源投资",爱牙,A,MEDICAL_HEALTH,主打爱牙护牙的医疗应用,750,10314,240,ANGEL,29942,CNY,999
1306857600000,天使湾创投,小恩爱,A,SOCIAL_NETWORK,为情侣用户订制的移动个性应用,746,11357,,ANGEL,137024,USD,1000
1372608000000,朗玛峰创投,中搜,IPO,SOFTWARE,第三代搜索引擎服务及技术应用提供商，致力于自主创新,744,11519,,D,14303,CNY,1001
1388505600000,"中信产业基金,腾讯",滴滴打车,E,AUTO,免费打车软件，无需人工电话，能高效准确的打车,743,11555,10000,C,133772,USD,1002
1420041600000,"中信产业基金,红杉资本",饿了么,ACQUIRED,CONSUMER_LIFESTYLE,外卖订餐平台,743,11555,,E,4001,USD,1003
1412092800000,中信产业基金,唱吧,C,CULTURE_SPORTS_ART,一个手机KTV唱歌娱乐应用。,743,11555,,C,2094,USD,1004
1383235200000,JJ比赛,酷七网,ANGEL,SOFTWARE,WP论坛，供WP手机用户和WP开发者分享交流,739,12233,,ANGEL,11718,USD,1005
,,PHP100,NONE,MEDIA,PHP资源分享网站,739,12233,,,27039,,1006
1417363200000,唯通资本,湖南捷时行电子商务有限公司,ANGEL,OTHER,大巴网是联合多个省份汽车票网上订票服务平台,734,5599,,ANGEL,132446,USD,1007
1388505600000,,讯端广告,NONE,,国内最早的自媒体精准广告投放平台,732,5800,100,,140530,USD,1008
